Rank,Country,Population
1,China,1409670000
2,India,1400744000
3,United States,335893238
4,Indonesia,279118866
5,Pakistan,241499431
6,Nigeria,223800000
7,Brazil,203080756
8,Bangladesh,169828911
9,Russia,146150789
10,Mexico,129625968
11,Japan,124000000
12,Philippines,112892781
13,Ethiopia,107334000
14,Egypt,104462545
15,Vietnam,100300000
16,Democratic Republic of the Congo,95370000
17,Turkey,85372377
18,Germany,84607016
19,Iran,84055000
20,France,68394000
21,United Kingdom,67596281
22,Thailand,66090475
23,South Africa,62027503
24,Tanzania,61741120
25,Italy,58972268
26,Myanmar,55770232
27,Colombia,52695952
28,Kenya,51526000
29,South Korea,51293934
30,Spain,48592909
31,Argentina,46654581
32,Uganda,45562000
33,Algeria,45400000
34,Iraq,43324000
35,Sudan,41984500
36,Canada,40769890
37,Poland,37620000
38,Morocco,37022000
39,Uzbekistan,36963262
40,Ukraine,36700000
41,Afghanistan,34262840
42,Angola,34094077
43,Peru,33725844
44,Malaysia,33379500
45,Mozambique,32419747
46,Saudi Arabia,32175224
47,Yemen,31888698
48,Ghana,30832019
49,Ivory Coast,29389150
50,Nepal,29164578
51,Venezuela,28302000
52,Cameroon,28088845
53,Madagascar,26923353
54,Australia,26821557
55,North Korea,25660000
56,Niger,25369415
57,Taiwan,23420442
58,Syria,22923000
59,Burkina Faso,22752315
60,Mali,22395489
61,Sri Lanka,22037000
62,Malawi,21507723
63,Kazakhstan,20075271
64,Chile,19960889
65,Zambia,19610769
66,Romania,19051562
67,Senegal,18275743
68,Somalia,18143379
69,Netherlands,17967505
70,Guatemala,17602431
71,Chad,17414717
72,Cambodia,17091464
73,Ecuador,16938986
74,Zimbabwe,15178979
75,South Sudan,14746494
76,Guinea,13261638
77,Rwanda,13246394
78,Burundi,12837740
79,Benin,12606998
80,Bolivia,12006031
81,Tunisia,11850232
82,Belgium,11820117
83,Papua New Guinea,11781559
84,Haiti,11743017
85,Jordan,11516000
86,Cuba,11089511
87,Czech Republic,10900555
88,Dominican Republic,10760028
89,Sweden,10549287
90,Portugal,10467366
91,Greece,10413982
92,Azerbaijan,10151517
93,Tajikistan,10077600
94,Israel,9880000
95,Honduras,9745149
96,Hungary,9584000
97,United Arab Emirates,9282410
98,Belarus,9200617
99,Austria,9159993
100,Switzerland,8960817
101,Sierra Leone,8494260
102,Togo,8095498
103,Laos,7443000
104,Kyrgyzstan,7100000
105,Turkmenistan,7057841
106,Libya,6931061
107,El Salvador,6884888
108,Nicaragua,6733763
109,Serbia,6641197
110,Bulgaria,6445481
111,Republic of the Congo,6142180
112,Paraguay,6109644
113,Denmark,5961249
114,Singapore,5917600
115,Central African Republic,5633412
116,Finland,5574011
117,Norway,5550203
118,Lebanon,5490000
119,Palestine,5483450
120,Slovakia,5424687
121,Ireland,5281600
122,New Zealand,5305600
123,Costa Rica,5262225
124,Liberia,5248621
125,Oman,5113071
126,Kuwait,4670713
127,Mauritania,4475683
128,Panama,4064780
129,Croatia,3855641
130,Eritrea,3748902
131,Georgia,3694600
132,Mongolia,3457548
133,Uruguay,3444263
134,Bosnia and Herzegovina,3277082
135,Namibia,3022401
136,Armenia,2993800
137,Lithuania,2886515
138,Jamaica,2825544
139,Albania,2761785
140,Qatar,2656032
141,Moldova,2512758
142,Gambia,2417471
143,Botswana,2410338
144,Lesotho,2306000
145,Gabon,2233272
146,Slovenia,2123103
147,Latvia,1872500
148,North Macedonia,1832696
149,Guinea-Bissau,1781308
150,Bahrain,1577059
151,Equatorial Guinea,1558160
152,Trinidad and Tobago,1367510
153,Estonia,1366491
154,East Timor,1354662
155,Mauritius,1261041
156,Eswatini,1223362
157,Djibouti,1001454
158,Cyprus,918100
159,Fiji,893468
160,Bhutan,770276
161,Comoros,758316
162,Guyana,743699
163,Solomon Islands,734887
164,Luxembourg,672020
165,Montenegro,616695
166,Suriname,616500
167,Malta,519562
168,Maldives,515132
169,Cape Verde,491233
170,Brunei,445400
171,Belize,397483
172,Bahamas,397360
173,Iceland,383726
174,Vanuatu,301295
175,Barbados,267800
176,São Tomé and Príncipe,214610
177,Samoa,205557
178,Saint Lucia,178696
179,Kiribati,120740
180,Grenada,112579
181,Saint Vincent and the Grenadines,110872
182,Micronesia,105754
183,Antigua and Barbuda,100772
184,Seychelles,100447
185,Tonga,100179
186,Andorra,85101
187,Dominica,67408
188,Saint Kitts and Nevis,47195
189,Marshall Islands,42418
190,Liechtenstein,40023
191,Monaco,38367
192,San Marino,33916
193,Palau,16733
194,Nauru,11680
195,Tuvalu,10679
196,Vatican City,764